MODEL,MODEL_INDEX,MODEL_DESCRIPTION,FORECAST_HORIZON,PAST_HISTORY,TRAIN_MAE,TEST_MAE,TRAIN_TIME,TEST_TIME
rf,76,"(300, 8, 4, 3)",1,15,0.00016894414474042405,0.0001398888653945016,2.3609161376953125,0.04095125198364258
rf,77,"(300, 8, 4, 7)",1,15,0.00016895164545854764,0.00013992170709594402,1.4237730503082275,0.0403141975402832
rf,78,"(300, 8, 8, 1)",1,15,0.0001689654763915978,0.00013991903457452604,1.4343700408935547,0.019591808319091797
rf,79,"(300, 8, 8, 3)",1,15,0.00016897746859643025,0.00013993502003102355,1.0391569137573242,0.019469022750854492
rf,80,"(300, 8, 8, 7)",1,15,0.0001689840070858099,0.0001399636961067694,1.396925926208496,0.04009079933166504
rf,0,"(100, 3, 2, 1)",1,30,0.00017096624272750088,0.00015175433169448087,0.5371782779693604,0.012642145156860352
rf,1,"(100, 3, 2, 3)",1,30,0.00017050606612703975,0.00014598445859397528,0.5209450721740723,0.010914802551269531
rf,2,"(100, 3, 2, 7)",1,30,0.00017030731545434222,0.00014061401924877505,0.6389679908752441,0.015394926071166992
rf,3,"(100, 3, 4, 1)",1,30,0.00017015898169821833,0.00014050340483787773,0.6559238433837891,0.012284994125366211
rf,4,"(100, 3, 4, 3)",1,30,0.0001700229164863855,0.0001404611110031318,0.6432211399078369,0.022391080856323242
rf,5,"(100, 3, 4, 7)",1,30,0.0001698811636336347,0.00014034749349085422,0.39305591583251953,0.009907007217407227
rf,6,"(100, 3, 8, 1)",1,30,0.0001697596046933371,0.00014028917058056932,0.6414778232574463,0.03487825393676758
rf,7,"(100, 3, 8, 3)",1,30,0.00016963324669586066,0.00014016756411039535,0.5907797813415527,0.015381097793579102
rf,8,"(100, 3, 8, 7)",1,30,0.00016956491504507796,0.00014012446532730993,0.7089219093322754,0.018284082412719727
rf,9,"(100, 6, 2, 1)",1,30,0.00016952971703777605,0.0001401562907952989,0.8580939769744873,0.010337591171264648
rf,10,"(100, 6, 2, 3)",1,30,0.0001694481288714895,0.00014019140897583127,0.7388501167297363,0.010233163833618164
rf,11,"(100, 6, 2, 7)",1,30,0.00016933360967345248,0.0001401262156050142,1.1204800605773926,0.008561134338378906
rf,12,"(100, 6, 4, 1)",1,30,0.000169285121865534,0.0001400881644924497,0.5207350254058838,0.010110139846801758
rf,13,"(100, 6, 4, 3)",1,30,0.00016928572624365297,0.00014002184368466886,0.4710829257965088,0.008053064346313477
rf,14,"(100, 6, 4, 7)",1,30,0.0001692731896769776,0.00014000558047131328,0.5399229526519775,0.010077953338623047
rf,15,"(100, 6, 8, 1)",1,30,0.00016928778146758165,0.00013997032150608622,0.4801452159881592,0.008812904357910156
rf,16,"(100, 6, 8, 3)",1,30,0.00016929872424605453,0.00013992917285299186,0.5247538089752197,0.008130073547363281
rf,17,"(100, 6, 8, 7)",1,30,0.00016930590017163888,0.00013993083229992052,0.4582037925720215,0.008627891540527344
rf,18,"(100, 8, 2, 1)",1,30,0.00016935463737418694,0.00013989829301082568,0.675156831741333,0.008053064346313477
rf,19,"(100, 8, 2, 3)",1,30,0.0001693722417365753,0.00013988207638422016,0.6302599906921387,0.009828805923461914
rf,20,"(100, 8, 2, 7)",1,30,0.00016937838676021286,0.00013984286504042714,0.571605920791626,0.008189201354980469
rf,21,"(100, 8, 4, 1)",1,30,0.00016938945739574686,0.00013979053750228147,0.6023087501525879,0.008712053298950195
rf,22,"(100, 8, 4, 3)",1,30,0.00016941041571420725,0.00013981398465001072,0.5750000476837158,0.009210824966430664
rf,23,"(100, 8, 4, 7)",1,30,0.00016940875769203437,0.0001398288775586495,0.5729789733886719,0.008678197860717773
rf,24,"(100, 8, 8, 1)",1,30,0.00016941354206137575,0.00013980243262398358,0.6036012172698975,0.009485006332397461
rf,25,"(100, 8, 8, 3)",1,30,0.0001694235724584921,0.00013979538259882752,0.6518089771270752,0.009459972381591797
rf,26,"(100, 8, 8, 7)",1,30,0.0001694368710295042,0.00013972706321349273,0.5619330406188965,0.008244037628173828
rf,27,"(200, 3, 2, 1)",1,30,0.00016939407274217815,0.0001403039886272036,0.561448335647583,0.01206517219543457
rf,28,"(200, 3, 2, 3)",1,30,0.00016941879762362813,0.00014109302389069982,0.5696978569030762,0.013531208038330078
rf,29,"(200, 3, 2, 7)",1,30,0.0001694713148274305,0.00014137149970092986,0.576530933380127,0.012734174728393555
rf,30,"(200, 3, 4, 1)",1,30,0.0001695153960228681,0.00014154175424087583,0.6939218044281006,0.027830839157104492
rf,31,"(200, 3, 4, 3)",1,30,0.00016957878796049845,0.00014163117931891182,0.814133882522583,0.014671802520751953
rf,32,"(200, 3, 4, 7)",1,30,0.00016962662523498692,0.00014164496491174064,0.6199407577514648,0.013712167739868164
rf,33,"(200, 3, 8, 1)",1,30,0.00016967396770164542,0.00014167147312430276,0.6542010307312012,0.013326168060302734
rf,34,"(200, 3, 8, 3)",1,30,0.00016973320730468466,0.00014166655449753714,0.6895542144775391,0.03430986404418945
rf,35,"(200, 3, 8, 7)",1,30,0.00016979733261837153,0.00014166618626096887,0.6486971378326416,0.013712882995605469
rf,36,"(200, 6, 2, 1)",1,30,0.00016983728115198892,0.0001416572268999127,1.0168840885162354,0.014173030853271484
rf,37,"(200, 6, 2, 3)",1,30,0.00016988443787110808,0.00014154169135306092,1.36375093460083,0.0176389217376709
rf,38,"(200, 6, 2, 7)",1,30,0.00016992585689867422,0.00014141787331306836,1.24222993850708,0.014729022979736328
rf,39,"(200, 6, 4, 1)",1,30,0.00016996359183371574,0.00014142993579033727,1.3343310356140137,0.014277935028076172
rf,40,"(200, 6, 4, 3)",1,30,0.00017000269306842108,0.00014139930572725775,1.0816650390625,0.013853311538696289
rf,41,"(200, 6, 4, 7)",1,30,0.0001700376806450494,0.00014140614750067466,1.0453870296478271,0.01314401626586914
rf,42,"(200, 6, 8, 1)",1,30,0.00017007527850097784,0.00014140703522742967,0.8887290954589844,0.012552022933959961
rf,43,"(200, 6, 8, 3)",1,30,0.00017012355346901058,0.00014139071480740736,0.9503061771392822,0.015537261962890625
rf,44,"(200, 6, 8, 7)",1,30,0.00017015765710926228,0.0001413892217546622,1.2142910957336426,0.01209878921508789
rf,45,"(200, 8, 2, 1)",1,30,0.00017019623461031602,0.00014138647379089735,1.2155158519744873,0.015179157257080078
rf,46,"(200, 8, 2, 3)",1,30,0.0001702445676202435,0.00014137835479251479,1.32389497756958,0.012838125228881836
rf,47,"(200, 8, 2, 7)",1,30,0.00017028357684584008,0.00014139421637572014,1.3547630310058594,0.014275789260864258
rf,48,"(200, 8, 4, 1)",1,30,0.0001703181675558309,0.00014138635234000655,1.4818530082702637,0.09043502807617188
rf,49,"(200, 8, 4, 3)",1,30,0.00017035983916706591,0.00014139914987784696,1.5835020542144775,0.04231095314025879
rf,50,"(200, 8, 4, 7)",1,30,0.0001703905772387329,0.00014140721548415382,1.292881965637207,0.013916969299316406
rf,51,"(200, 8, 8, 1)",1,30,0.0001704150930345098,0.00014143511678241228,1.2731781005859375,0.018664836883544922
rf,52,"(200, 8, 8, 3)",1,30,0.0001704377076849194,0.0001414319461892251,2.6121630668640137,0.03331184387207031
rf,53,"(200, 8, 8, 7)",1,30,0.00017046167434275753,0.00014141076486550808,2.600800037384033,0.01556706428527832
rf,54,"(300, 3, 2, 1)",1,30,0.00017049143494015585,0.00014167974780777536,1.3042140007019043,0.016757965087890625
rf,55,"(300, 3, 2, 3)",1,30,0.00017051923569014427,0.0001417342109639763,0.8026518821716309,0.01892995834350586
rf,56,"(300, 3, 2, 7)",1,30,0.0001705517579697975,0.00014175730519048693,0.8621559143066406,0.022711992263793945
rf,57,"(300, 3, 4, 1)",1,30,0.0001705794906931317,0.00014178456010840724,0.8757467269897461,0.019935131072998047
rf,58,"(300, 3, 4, 3)",1,30,0.00017061625290306178,0.00014180424292213183,1.2290480136871338,0.025717973709106445
rf,59,"(300, 3, 4, 7)",1,30,0.00017064200707387603,0.0001418209094508381,0.8681800365447998,0.01868295669555664
rf,60,"(300, 3, 8, 1)",1,30,0.0001706714298255747,0.00014183786120843688,1.2799150943756104,0.018247365951538086
rf,61,"(300, 3, 8, 3)",1,30,0.00017069857157009065,0.0001418620518555865,0.8578379154205322,0.019073009490966797
rf,62,"(300, 3, 8, 7)",1,30,0.00017072496743660516,0.00014187976684113833,1.3369548320770264,0.018129825592041016
rf,63,"(300, 6, 2, 1)",1,30,0.00017074202768163364,0.00014189222831421618,1.3244152069091797,0.018064022064208984
rf,64,"(300, 6, 2, 3)",1,30,0.0001707708471196268,0.00014188655388678407,1.319389820098877,0.017580032348632812
rf,65,"(300, 6, 2, 7)",1,30,0.0001707998621111126,0.0001418892507818485,1.2556300163269043,0.017390966415405273
rf,66,"(300, 6, 4, 1)",1,30,0.00017081965549797795,0.0001420202269422626,1.5174620151519775,0.02231311798095703
rf,67,"(300, 6, 4, 3)",1,30,0.00017083928948559836,0.00014187376528120753,1.4429361820220947,0.01963210105895996
rf,68,"(300, 6, 4, 7)",1,30,0.00017083789036094197,0.00014185392917112348,1.4173340797424316,0.022208213806152344
rf,69,"(300, 6, 8, 1)",1,30,0.00017084151052832968,0.00014183832962981306,1.4719281196594238,0.019155025482177734
rf,70,"(300, 6, 8, 3)",1,30,0.00017084909290957426,0.00014182813355961883,1.4359748363494873,0.0196230411529541
rf,71,"(300, 6, 8, 7)",1,30,0.0001708501602456351,0.0001418140045118447,1.2872450351715088,0.019622802734375
rf,72,"(300, 8, 2, 1)",1,30,0.00017085236726599155,0.00014180858357019666,1.6960771083831787,0.018561124801635742
rf,73,"(300, 8, 2, 3)",1,30,0.00017085608915800064,0.00014178506308536314,2.0780458450317383,0.019366979598999023
rf,74,"(300, 8, 2, 7)",1,30,0.00017085444229416916,0.00014177221091446766,1.6033799648284912,0.018941879272460938
rf,75,"(300, 8, 4, 1)",1,30,0.00017086868458654884,0.000141735684264984,1.684124231338501,0.019948720932006836
rf,76,"(300, 8, 4, 3)",1,30,0.00017087530568377053,0.0001417300164235372,2.489824056625366,0.055459022521972656
rf,77,"(300, 8, 4, 7)",1,30,0.0001708805180876299,0.00014171156773249856,2.731674909591675,0.04079484939575195
rf,78,"(300, 8, 8, 1)",1,30,0.00017088948438610292,0.0001416937639753039,2.365778923034668,0.02714991569519043
rf,79,"(300, 8, 8, 3)",1,30,0.00017089069173299587,0.0001416990972001859,2.553473949432373,0.03849315643310547
rf,80,"(300, 8, 8, 7)",1,30,0.00017089530136184524,0.00014169131443236057,2.1344480514526367,0.01908707618713379
rf,0,"(100, 3, 2, 1)",1,60,0.00017276710887041469,0.00015996554431405515,0.45860791206359863,0.008311033248901367
