;MODEL;MODEL_INDEX;MODEL_DESCRIPTION;FORECAST_HORIZON;PAST_HISTORY_FACTOR;PAST_HISTORY;BATCH_SIZE;EPOCHS;STEPS;OPTIMIZER;LEARNING_RATE;NORMALIZATION;TEST_TIME;TRAINING_TIME;mae_train;mae_test;LOSS;VAL_LOSS
461;mlp;0;{'hidden_layers': [32, 16, 8]};1;120;120;32;20;29;Adam;0.001;None;0.0012147426605224;1.7052149772644043;0.0023148563301066;0.0024914604122092;[0.14107203483581543, 0.0873606875538826, 0.06645176559686661, 0.04928876832127571, 0.03898799791932106, 0.031401295214891434, 0.026011332869529724, 0.01894732005894184, 0.017758086323738098, 0.015799034386873245, 0.011130180209875107, 0.010046086274087429, 0.008283542469143867, 0.006735669448971748, 0.006075536832213402, 0.006335307843983173, 0.005471641197800636, 0.005387276876717806, 0.006709402892738581, 0.003251815913245082];[0.0836053267121315, 0.07768803089857101, 0.0856054276227951, 0.0390549935400486, 0.04044346138834953, 0.024219637736678123, 0.01816493831574917, 0.01527004037052393, 0.04091440886259079, 0.012637116946280003, 0.019569169729948044, 0.009133457206189632, 0.007408495526760817, 0.00619889609515667, 0.00533392233774066, 0.006969216279685497, 0.004038515035063028, 0.017351528629660606, 0.005190638359636068, 0.0024904501624405384]
462;lstm;0;{'layers': 1, 'units': 32, 'return_sequence': True};1;120;120;32;20;29;Adam;0.01;None;0.0021078586578369;3.644104480743408;0.000922717393841;0.0037493245052672;[0.04235340282320976, 0.004644741769880056, 0.00389731558971107, 0.0022840092424303293, 0.0011785364476963878, 0.001648047473281622, 0.0011614507529884577, 0.0010668114991858602, 0.0007592729525640607, 0.0008800936629995704, 0.0008555446984246373, 0.0014150111237540841, 0.0011882124235853553, 0.0006379428086802363, 0.0008426127023994923, 0.0007065933314152062, 0.0010128184221684933, 0.0009537998121231794, 0.0016148395370692015, 0.0009342122357338667];[0.018850116059184074, 0.006695279385894537, 0.005072988569736481, 0.0032166079618036747, 0.004621280822902918, 0.003267898689955473, 0.003659923793748021, 0.0015867426991462708, 0.001915029832161963, 0.0021990251261740923, 0.002482815645635128, 0.0073936618864536285, 0.0014352191938087344, 0.001029426697641611, 0.002409988082945347, 0.0016246925806626678, 0.0009053036919794977, 0.0012049605138599873, 0.0015888417838141322, 0.0037492902483791113]
463;lstm;1;{'layers': 1, 'units': 32, 'return_sequence': False};1;120;120;32;20;29;Adam;0.01;None;0.002079963684082;3.5796713829040527;0.0005924367426961;0.0007602609586748;[0.07211552560329437, 0.011291979812085629, 0.006957044824957848, 0.003454696387052536, 0.002168933628126979, 0.0031378932762891054, 0.0022752152290195227, 0.002645111409947276, 0.0021482466254383326, 0.0015770859317854047, 0.0030088317580521107, 0.0016615763306617737, 0.0020854496397078037, 0.0012241635704413056, 0.0015660639619454741, 0.002644275315105915, 0.0015385349979624152, 0.0013177132932469249, 0.001011406653560698, 0.0008109357440844178];[0.040548279881477356, 0.005741159897297621, 0.0063391816802322865, 0.0060599748976528645, 0.00897904485464096, 0.005741243250668049, 0.009028911590576172, 0.002517005195841193, 0.0017213401151821017, 0.013475350104272366, 0.004722739569842815, 0.003481365740299225, 0.003104889765381813, 0.0052818371914327145, 0.007342614233493805, 0.003727929899469018, 0.0018164906650781631, 0.002165649551898241, 0.003135767299681902, 0.0007602913537994027]
464;lstm;2;{'layers': 2, 'units': 32, 'return_sequence': True};1;120;120;32;20;29;Adam;0.01;None;0.0037107467651367;4.74959659576416;0.0002478081303996;0.0003224631795975;[0.01408592239022255, 0.0013455075677484274, 0.0009925960330292583, 0.0009704517433419824, 0.0005261537153273821, 0.0005892322515137494, 0.00043581044883467257, 0.0003111713449470699, 0.0003945657517760992, 0.000718620081897825, 0.0008006856078281999, 0.0009776267688721418, 0.0006022205925546587, 0.0004808651574421674, 0.0005162075976841152, 0.00047923001693561673, 0.0007112418534234166, 0.000586401205509901, 0.000408750434871763, 0.0005269028479233384];[0.0009997435845434666, 0.0012954918202012777, 0.0004666575405281037, 0.0007310652872547507, 0.0005421357927843928, 0.0007356142159551382, 0.0006914232508279383, 0.0004424989747349173, 0.00033732116571627557, 0.00044280962902121246, 0.001512599177658558, 0.000759218237362802, 0.0015227894764393568, 0.0013952333247289062, 0.0006393493968062103, 0.0010497379116714, 0.0003217313496861607, 0.0007426317315548658, 0.0002532146463636309, 0.00032246019691228867]
465;lstm;3;{'layers': 2, 'units': 32, 'return_sequence': False};1;120;120;32;20;29;Adam;0.01;None;0.003525972366333;4.749269723892212;0.0008206744236197;0.000550372472432;[0.011734342202544212, 0.0012227847473695874, 0.0015828537289053202, 0.0017457904759794474, 0.0015651077264919877, 0.0004758361028507352, 0.0008036606013774872, 0.0012846979079768062, 0.0017111024353653193, 0.002412053756415844, 0.001803628634661436, 0.0010060727363452315, 0.0006333811907097697, 0.0006289460579864681, 0.0003425816248636693, 0.0005933588254265487, 0.0013102511875331402, 0.0011990077327936888, 0.0005422161193564534, 0.0006111474940553308];[0.007052934728562832, 0.0007774573750793934, 0.0005962111754342914, 0.0028431338723748922, 0.0012304455740377307, 0.0004233539802953601, 0.0006754017085768282, 0.000506010081153363, 0.004184532444924116, 0.003906828351318836, 0.002534756902605295, 0.000266549875959754, 0.0009636172908358276, 0.0004814535495825112, 0.0004049119888804853, 0.0006055928533896804, 0.0013473560102283955, 0.0007829936221241951, 0.0008035582723096013, 0.0005503733991645277]
466;cnn;0;{'conv_blocks': [[16, 3, 2]]};1;120;120;32;20;29;Adam;0.01;None;0.8522887229919434;6.6387619972229;0.0020972980728166;0.0028877820710904;[0.14402979612350464, 0.05342865735292435, 0.05052526667714119, 0.034818753600120544, 0.021945219486951828, 0.024445198476314545, 0.0207666102796793, 0.015476217493414879, 0.0144653907045722, 0.011841744184494019, 0.017070777714252472, 0.007005533669143915, 0.004616774618625641, 0.004407666157931089, 0.0029535565990954638, 0.0051323226653039455, 0.0026843210216611624, 0.002414863323792815, 0.001410375232808292, 0.0011322428472340107];[0.11595717817544937, 0.04032183438539505, 0.08478427678346634, 0.07692008465528488, 0.08468709141016006, 0.04896494746208191, 0.02590252459049225, 0.11629611998796463, 0.08358946442604065, 0.11074467748403549, 0.029509713873267174, 0.012981272302567959, 0.02818664163351059, 0.00760337058454752, 0.007543654181063175, 0.029951853677630424, 0.018890833482146263, 0.0030661586206406355, 0.003785465145483613, 0.0028877819422632456]
467;mlp;0;{'hidden_layers': [32, 16, 8]};1;120;120;32;20;29;Adam;0.01;None;0.001183271408081;1.674006462097168;0.0041984453435881;0.0016227793943236;[0.306734174489975, 0.013115237466990948, 0.005710912402719259, 0.0034348084591329098, 0.003458532504737377, 0.0038109179586172104, 0.004743688274174929, 0.0030999465379863977, 0.003949071280658245, 0.001529006869532168, 0.0020543509162962437, 0.0043927584774792194, 0.004554733633995056, 0.004663914442062378, 0.003847176907584071, 0.001934910542331636, 0.0017857865896075964, 0.0028360732831060886, 0.0025000572204589844, 0.003161635249853134];[0.02649415098130703, 0.002639365615323186, 0.0023088636808097363, 0.0011950174812227488, 0.001896639820188284, 0.0015788862947374582, 0.005741820205003023, 0.0011891433969140053, 0.0011244519846513867, 0.0010070608695968986, 0.0018155327998101711, 0.001853202935308218, 0.002106777857989073, 0.00302763725630939, 0.0013763334136456251, 0.0048192329704761505, 0.0009884122991934419, 0.0016117721097543836, 0.0011654997942969203, 0.0016236180672422051]
468;lstm;0;{'layers': 1, 'units': 32, 'return_sequence': True};1;120;120;64;20;15;Adam;0.001;None;0.0021030902862548;3.247379779815674;0.002575683333566;0.0045117371184434;[0.022210294380784035, 0.01444314792752266, 0.011880067177116871, 0.010615282692015171, 0.009945923462510109, 0.009085992351174355, 0.008071121759712696, 0.006630360148847103, 0.006038024555891752, 0.005445120390504599, 0.00511972839012742, 0.004735155496746302, 0.004858058411628008, 0.004042630083858967, 0.0037903671618551016, 0.0034460928291082382, 0.0032419986091554165, 0.003071295563131571, 0.002793396357446909, 0.0026448294520378113];[0.023898480460047722, 0.015869515016674995, 0.015558630228042603, 0.0142965754494071, 0.013761148788034916, 0.012749816291034222, 0.009369428269565105, 0.010740846395492554, 0.008202207274734974, 0.00760755455121398, 0.006675730459392071, 0.006666057277470827, 0.008230953477323055, 0.0060026017017662525, 0.0059866150841116905, 0.004856313578784466, 0.005201901774853468, 0.004822357092052698, 0.004364045336842537, 0.004511824809014797]
469;lstm;1;{'layers': 1, 'units': 32, 'return_sequence': False};1;120;120;64;20;15;Adam;0.001;None;0.0020246505737304;3.252573013305664;0.0019824818720763;0.0045127668609423;[0.01642845757305622, 0.01207766029983759, 0.009707601740956306, 0.008813084103167057, 0.008179918862879276, 0.006611397489905357, 0.007562726736068726, 0.006714412476867437, 0.005110821686685085, 0.004769806284457445, 0.00446641119197011, 0.0039658015593886375, 0.0035920371301472187, 0.00369215477257967, 0.0039342185482382774, 0.0033481325954198837, 0.0030374082271009684, 0.0031954217702150345, 0.0034605979453772306, 0.0027350345626473427];[0.012295902706682682, 0.010533655062317848, 0.009307739324867725, 0.0072486442513763905, 0.008122775703668594, 0.006912443321198225, 0.011923412792384624, 0.005519182421267033, 0.0058499593287706375, 0.005788544192910194, 0.010977879166603088, 0.00463906629011035, 0.004797795787453651, 0.008663599379360676, 0.006332445424050093, 0.0072446721605956554, 0.003944330383092165, 0.004982978105545044, 0.004134305752813816, 0.004512644838541746]
470;lstm;2;{'layers': 2, 'units': 32, 'return_sequence': True};1;120;120;64;20;15;Adam;0.001;None;0.0034866333007812;4.244266033172607;0.0002245966020706;0.0003688369878308;[0.0037874404806643724, 0.0019301751162856817, 0.0013702490832656622, 0.000977695337496698, 0.0007425247458741069, 0.0005980771384201944, 0.0005105693708173931, 0.0004300094733480364, 0.0004252669750712812, 0.000529641576576978, 0.00040131068089976907, 0.000335960736265406, 0.00034599739592522383, 0.0003160781052429229, 0.00026768192765302956, 0.00028579781064763665, 0.00029340205946937203, 0.00030046096071600914, 0.00025245288270525634, 0.0002368125133216381];[0.0040740626864135265, 0.00135405408218503, 0.0016687465831637383, 0.0010456690797582269, 0.0008340437198057771, 0.000787047843914479, 0.000616025528870523, 0.0006432887748815119, 0.000517958658747375, 0.0004803089250344783, 0.0004912108415737748, 0.0006206727703101933, 0.0003969468525610864, 0.00038255646359175444, 0.0003210208669770509, 0.000343755615176633, 0.0005200181039981544, 0.0003389525518286973, 0.00031509503605775535, 0.00036886255838908255]
